"ds","y"
2015-07-01,13137
2015-07-02,9938
2015-07-03,8498
2015-07-04,9113
2015-07-05,8908
2015-07-06,10456
2015-07-07,11392
2015-07-08,11294
2015-07-09,9808
2015-07-10,8478
2015-07-11,7097
2015-07-12,7439
2015-07-13,9053
2015-07-14,7900
2015-07-15,7585
2015-07-16,7822
2015-07-17,7264
2015-07-18,6343
2015-07-19,9256
2015-07-20,8946
2015-07-21,8595
2015-07-22,8892
2015-07-23,9449
2015-07-24,7952
2015-07-25,7283
2015-07-26,8473
2015-07-27,9626
2015-07-28,9436
2015-07-29,9063
2015-07-30,8548
2015-07-31,7220
2015-08-01,19280
2015-08-02,13539
2015-08-03,10351
2015-08-04,8943
2015-08-05,8469
2015-08-06,8066
2015-08-07,7942
2015-08-08,6901
2015-08-09,6832
2015-08-10,7794
2015-08-11,8070
2015-08-12,8389
2015-08-13,9769
2015-08-14,7322
2015-08-15,6422
2015-08-16,6640
2015-08-17,7683
2015-08-18,11541
2015-08-19,11921
2015-08-20,10579
2015-08-21,9664
2015-08-22,7673
2015-08-23,9181
2015-08-24,11678
2015-08-25,9808
2015-08-26,10923
2015-08-27,8496
2015-08-28,7543
2015-08-29,8285
2015-08-30,9485
2015-08-31,8902
2015-09-01,9625
2015-09-02,8586
2015-09-03,8147
2015-09-04,7057
2015-09-05,6023
2015-09-06,6399
2015-09-07,7505
2015-09-08,8553
2015-09-09,8275
2015-09-10,8385
2015-09-11,8024
2015-09-12,6968
2015-09-13,7008
2015-09-14,10119
2015-09-15,9090
2015-09-16,8800
2015-09-17,9018
2015-09-18,9788
2015-09-19,7558
2015-09-20,7368
2015-09-21,8936
2015-09-22,10027
2015-09-23,41177
2015-09-24,8707
2015-09-25,10171
2015-09-26,7046
2015-09-27,7292
2015-09-28,8213
2015-09-29,8418
2015-09-30,8602
2015-10-01,7942
2015-10-02,7540
2015-10-03,6772
2015-10-04,7565
2015-10-05,8901
2015-10-06,11515
2015-10-07,9937
2015-10-08,8930
2015-10-09,8510
2015-10-10,7433
2015-10-11,7692
2015-10-12,8895
2015-10-13,8719
2015-10-14,10092
2015-10-15,8397
2015-10-16,7882
2015-10-17,6919
2015-10-18,7189
2015-10-19,9286
2015-10-20,9618
2015-10-21,9091
2015-10-22,9548
2015-10-23,8964
2015-10-24,7211
2015-10-25,8115
2015-10-26,9774
2015-10-27,10467
2015-10-28,10815
2015-10-29,11065
2015-10-30,10597
2015-10-31,7868
2015-11-01,9414
2015-11-02,10937
2015-11-03,12552
2015-11-04,15437
2015-11-05,17375
2015-11-06,12389
2015-11-07,9095
2015-11-08,9944
2015-11-09,12995
2015-11-10,11800
2015-11-11,9867
2015-11-12,10723
2015-11-13,10063
2015-11-14,7329
2015-11-15,8089
2015-11-16,9350
2015-11-17,10446
2015-11-18,9931
2015-11-19,9356
2015-11-20,9095
2015-11-21,7921
2015-11-22,7864
2015-11-23,8695
2015-11-24,8071
2015-11-25,7602
2015-11-26,9906
2015-11-27,7525
2015-11-28,6900
2015-11-29,7443
2015-11-30,9707
2015-12-01,9924
2015-12-02,9334
2015-12-03,9198
2015-12-04,9648
2015-12-05,8269
2015-12-06,7899
2015-12-07,9360
2015-12-08,15663
2015-12-09,64048
2015-12-10,29548
2015-12-11,15773
2015-12-12,10766
2015-12-13,10543
2015-12-14,11447
2015-12-15,13976
2015-12-16,13004
2015-12-17,10635
2015-12-18,9153
2015-12-19,8192
2015-12-20,8274
2015-12-21,9755
2015-12-22,8825
2015-12-23,9040
2015-12-24,7909
2015-12-25,6960
2015-12-26,9192
2015-12-27,14084
2015-12-28,10191
2015-12-29,10041
2015-12-30,9006
2015-12-31,7727
2016-01-01,6917
2016-01-02,8377
2016-01-03,10766
2016-01-04,10785
2016-01-05,10522
2016-01-06,9285
2016-01-07,10956
2016-01-08,9452
2016-01-09,7980
