"ds","y"
2015-07-01,274264
2015-08-01,288091
2015-09-01,280885
2015-10-01,273249
2015-11-01,297821
2015-12-01,387384
2016-01-01,294527
2016-02-01,294916
2016-03-01,269408
2016-04-01,260030
2016-05-01,482277
2016-06-01,328407
2016-07-01,350611
2016-08-01,307778
2016-09-01,289067
2016-10-01,289413
2016-11-01,419019
2016-12-01,365706
2017-01-01,498115
2017-02-01,381960
2017-03-01,587158
2017-04-01,438693
2017-05-01,1288638
2017-06-01,886828
2017-07-01,825239
2017-08-01,1201415
2017-09-01,1033029
2017-10-01,1133857
2017-11-01,2161074
2017-12-01,4934888
2018-01-01,2123189
2018-02-01,1049435
2018-03-01,676694
2018-04-01,528884
2018-05-01,485658
2018-06-01,562434
2018-07-01,421384
2018-08-01,430667
2018-09-01,402886
2018-10-01,329685
2018-11-01,385368
2018-12-01,347446
2019-01-01,308417
2019-02-01,274325
2019-03-01,255157
2019-04-01,247486
2019-05-01,311653
2019-06-01,289084
2019-07-01,300455
2019-08-01,257802
2019-09-01,250032
2019-10-01,254369
2019-11-01,248807
2019-12-01,258017
2020-01-01,292231
2020-02-01,193975
2020-03-01,207912
2020-04-01,237390
2020-05-01,276894
2020-06-01,189023
2020-07-01,366391
2020-08-01,391950
2020-09-01,286494
2020-10-01,309491
2020-11-01,364820
2020-12-01,466861
2021-01-01,881973
2021-02-01,933565
2021-03-01,649134
2021-04-01,652458
2021-05-01,990438
2021-06-01,604425
2021-07-01,417208
2021-08-01,425156
2021-09-01,668505
2021-10-01,845726
2021-11-01,833006
2021-12-01,718252
2022-01-01,891375
2022-02-01,612528
2022-03-01,629028
2022-04-01,536500
2022-05-01,520987
2022-06-01,436606
2022-07-01,311979
2022-08-01,301276
2022-09-01,307515
2022-10-01,592145
2022-11-01,631754
2022-12-01,348527
2023-01-01,323616
2023-02-01,238114
2023-03-01,277512
2023-04-01,237095
2023-05-01,248231
2023-06-01,270602
2023-07-01,253734
2023-08-01,270272
2023-09-01,292356
2023-10-01,317506
2023-11-01,304526
2023-12-01,318289
2024-01-01,431760
2024-02-01,410696
2024-03-01,540148
2024-04-01,356102
2024-05-01,239289
2024-06-01,208123
2024-07-01,200357
2024-08-01,197659
2024-09-01,221306
2024-10-01,234307
2024-11-01,394151
2024-12-01,432985
2025-01-01,371856
2025-02-01,277060
2025-03-01,401404
2025-04-01,340524
2025-05-01,330236
2025-06-01,319477
2025-07-01,281982
2025-08-01,245273
2025-09-01,204516
2025-10-01,287314
2025-11-01,300087
2025-12-01,258864
2026-01-01,219334
2026-02-01,270563
